"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,222,"SWE","Sweden",1,"Östergötland","SE.OG",NA,"","Laen|län","County","","Östergötlands län"
2,222,"SWE","Sweden",2,"Blekinge","SE.BL",NA,"","Laen|län","County","","Blekinge län"
3,222,"SWE","Sweden",3,"Dalarna","SE.KO",NA,"","Laen|län","County","","Dalecarlia|Kopparberg"
4,222,"SWE","Sweden",4,"Gävleborg","SE.GV",NA,"","Laen|län","County","","Gävleborgs län"
5,222,"SWE","Sweden",5,"Gotland","SE.GT",NA,"","Laen|län","County","","Gotlands län|Gothland|Gottland"
6,222,"SWE","Sweden",6,"Halland","SE.HA",NA,"","Laen|län","County","","Hallands län"
7,222,"SWE","Sweden",7,"Jämtland","SE.JA",NA,"","Laen|län","County","","Jämtlands län"
8,222,"SWE","Sweden",8,"Jönköping","SE.JO",NA,"","Laen|län","County","","Jönköpings län"
9,222,"SWE","Sweden",9,"Kalmar","SE.KA",NA,"","Laen|län","County","","Kalmar län"
10,222,"SWE","Sweden",10,"Kronoberg","SE.KR",NA,"","Laen|län","County","","Kronobergs län"
11,222,"SWE","Sweden",11,"Norrbotten","SE.NB",NA,"","Laen|län","County","","Norrbottens län"
12,222,"SWE","Sweden",12,"Orebro","SE.OR",NA,"","Laen|län","County","","Örebro|Örebro län"
13,222,"SWE","Sweden",13,"Södermanland","SE.SD",NA,"","Laen|län","County","","Södermanlands län|Sörmland"
14,222,"SWE","Sweden",14,"Skåne","SE.SN",NA,"","Laen|län","County","",""
15,222,"SWE","Sweden",15,"Stockholm","SE.ST",NA,"","Laen|län","County","","Stockholms län|Estocolmo|Stoccolmo"
16,222,"SWE","Sweden",16,"Uppsala","SE.UP",NA,"","Laen|län","County","","Uppsala län"
17,222,"SWE","Sweden",17,"Värmland","SE.VR",NA,"","Laen|län","County","","Värmlands län"
18,222,"SWE","Sweden",18,"Västerbotten","SE.VB",NA,"","Laen|län","County","","Västerbottens län"
19,222,"SWE","Sweden",19,"Västernorrland","SE.VN",NA,"","Laen|län","County","","Västernorrlands län"
20,222,"SWE","Sweden",20,"Västmanland","SE.VM",NA,"","Laen|län","County","","Västmanlands län"
21,222,"SWE","Sweden",21,"Västra Götaland","SE.VG",NA,"","Laen|län","County","",""
